"","Source","Station","Longitude","Latitude"
"93","EMP","NZD06",-122.116666666667,38.0444444444444
"94","EMP","NZ068",-121.683611111111,38.1480555555556
"95","EMP","NZ086",-121.570277777778,38.0777777777778
"96","EMP","NZD16",-121.666666666667,38.0972222222222
"97","EMP","NZ41A",-122.411111111111,38.0708333333333
"98","EMP","NZ092",-121.381944444444,37.9783333333333
"99","EMP","NZ072",-121.835277777778,38.0316666666667
"100","EMP","NZ076",-121.763611111111,38.0219444444444
"101","EMP","NZ082",-121.650833333333,38.0897222222222
"102","EMP","NZD15",-121.688333333333,38.0525
"103","EMP","NZ062",-121.796111111111,38.0616666666667
"104","EMP","NZ066",-121.714444444444,38.1086111111111
"105","EMP","NZ070",-121.666666666667,38.1775
"106","EMP","NZM10",-121.426388888889,38.0436111111111
"107","EMP","NZ078",-121.706666666667,38.0475
"108","EMP","NZ080",-121.676666666667,38.0733333333333
"109","EMP","NZ042",-122.092222222222,38.0491666666667
"110","EMP","NZ046",-122.034166666667,38.065
"111","EMP","NZ050",-121.965277777778,38.0580555555556
"112","EMP","NZ058",-121.868333333333,38.0597222222222
"113","EMP","NZ020",-122.109722222222,38.0597222222222
"114","EMP","NZ024",-122.069166666667,38.0930555555556
"115","EMP","NZ036",-122.014166666667,38.0916666666667
"116","EMP","NZ040",-121.936666666667,38.0738888888889
"117","EMP","NZ044",-122.061111111111,38.065
"118","EMP","NZ052",-121.917222222222,38.0463888888889
"119","EMP","NZ056",-121.884722222222,38.0488888888889
"120","EMP","NZ022",-122.096111111111,38.0719444444444
"121","EMP","NZ030",-122.051944444444,38.1152777777778
"122","EMP","NZ038",-121.988888888889,38.0744444444444
"123","EMP","NZ295",-122.4325,37.9711111111111
"124","EMP","NZ003",-122.178333333333,38.0525
"125","EMP","NZ305",-122.35,38.0402777777778
"126","EMP","NZ338",-122.243055555556,38.0661111111111
"127","EMP","NZ005",-122.135277777778,38.0316666666667
"128","EMP","NZ300",-122.4,38.0111111111111
"129","EMP","NZ034",-121.883333333333,38.0777777777778
"130","EMP","NZ104",-121.663333333333,38.0563888888889
"131","EMP","NZD14",-121.710555555556,38.0180555555556
"132","EMP","NZD11",-121.792777777778,38.0427777777778
"133","EMP","NZ084",-121.605555555556,38.1036111111111
"134","EMP","NZ090",-121.449166666667,38.0019444444444
"135","EMP","NZ098",-121.534444444444,37.9708333333333
"136","EMP","NZC09",-121.553888888889,37.8344444444444
"137","EMP","NZ033",-121.912222222222,38.1352777777778
"138","EMP","NZ088",-121.514166666667,38.0541666666667
"139","EMP","NZ101",-121.671388888889,38.2377777777778
"140","EMP","NZ155",-121.660555555556,38.2716666666667
"141","EMP","NZ071",-121.664722222222,38.2113888888889
"142","EMP","NZ099",-121.691666666667,38.2583333333333
"143","EMP","NZ100",-121.615833333333,38.1969444444444
"144","EMP","NZ069",-121.643888888889,38.1722222222222
"145","EMP","NZ165",-121.611666666667,38.405
"146","EMP","NZM07",-121.495277777778,38.1261111111111
"147","EMP","NZM06",-121.5,38.1411111111111
"148","EMP","NZP02",-121.488888888889,38.2333333333333
"149","EMP","NZC03",-121.540277777778,38.3477777777778
"150","EMP","NZM09",-121.47,38.0836111111111
"151","EMP","NZM03",-121.556666666667,38.1455555555556
"152","EMP","NZ340",-122.278611111111,38.1086111111111
"153","EMP","NZ310",-122.323611111111,38.0266666666667
"154","EMP","NZ161",-121.643611111111,38.3419444444444
"155","EMP","NZ169",-121.583888888889,38.47
