"Region","water_year","reg_CPUE"
"SouthCentral",1983,842.243861772487
"SouthCentral",1984,4459.02984969136
"SouthCentral",1985,3896.68403087834
"SouthCentral",1986,1792.37552645503
"SouthCentral",1987,5174.07682098765
"SouthCentral",1988,5587.85602116402
"SouthCentral",1989,3914.57675744372
"SouthCentral",1990,6470.53098426265
"SouthCentral",1991,6909.57613739284
"SouthCentral",1992,9322.02711490724
"SouthCentral",1993,6287.42544389978
"SouthCentral",1994,16054.9585185185
"SouthCentral",1995,3705.00783193785
"SouthCentral",1996,3922.69141164233
"SouthCentral",1997,6228.13075472361
"SouthCentral",1998,4236.12370453834
"SouthCentral",1999,9079.55432631494
"SouthCentral",2000,9657.43322825846
"SouthCentral",2001,7895.54961213404
"SouthCentral",2002,12952.5885006946
"SouthCentral",2003,9981.83015066431
"SouthCentral",2004,8122.0311868132
"SouthCentral",2005,6247.70577369826
"SouthCentral",2006,3638.93181538269
"SouthCentral",2007,9991.17779162479
"SouthCentral",2008,9493.02499346257
"SouthCentral",2009,8143.4578303763
"SouthCentral",2010,7789.76857692879
"SouthCentral",2011,4061.73365734301
"SouthCentral",2012,8549.51639624075
"SouthCentral",2013,11327.958438664
"SouthCentral",2014,15904.2117207591
"SouthCentral",2015,14231.0751245858
"SouthCentral",2016,13759.8144015251
"SouthCentral",2017,7072.4236249768
"SouthCentral",2018,13840.3265804891
"SouthCentral",2019,6423.46434640523
"Suisun Bay",1975,2261.75003232323
"Suisun Bay",1976,3998.93468796635
"Suisun Bay",1977,4253.23756410256
"Suisun Bay",1978,5061.04173520374
"Suisun Bay",1979,3950.40372676706
"Suisun Bay",1980,3734.40260785511
"Suisun Bay",1981,4548.30258796759
"Suisun Bay",1982,2608.6248503104
"Suisun Bay",1983,1493.06424335929
"Suisun Bay",1984,3744.92452527925
"Suisun Bay",1985,4129.47581605529
"Suisun Bay",1986,3285.09855844156
"Suisun Bay",1987,1888.73424457133
"Suisun Bay",1988,317.162083877996
"Suisun Bay",1989,1279.10652066924
"Suisun Bay",1990,677.936101234568
"Suisun Bay",1991,620.471167901235
"Suisun Bay",1992,1850.3820181224
"Suisun Bay",1993,2689.82576406926
"Suisun Bay",1994,8868.31296296296
"Suisun Bay",1995,6542.03155411728
"Suisun Bay",1996,5153.36152571965
"Suisun Bay",1997,6487.65064995159
"Suisun Bay",1998,13191.5251329068
"Suisun Bay",1999,17602.795171234
"Suisun Bay",2000,11030.4155812669
"Suisun Bay",2001,7489.76690190448
"Suisun Bay",2002,15218.3581170558
"Suisun Bay",2003,15498.8712961685
"Suisun Bay",2004,8926.10571101057
"Suisun Bay",2005,8185.07098528567
"Suisun Bay",2006,11797.1792898334
"Suisun Bay",2007,6000.54932272559
"Suisun Bay",2008,8917.98982653156
"Suisun Bay",2009,10371.1775567992
"Suisun Bay",2010,6444.65856506182
"Suisun Bay",2011,5237.67545192643
"Suisun Bay",2012,7909.93019164193
"Suisun Bay",2013,8706.886548913
"Suisun Bay",2014,5135.94705079304
"Suisun Bay",2015,6273.06706265277
"Suisun Bay",2016,10344.0906265321
"Suisun Bay",2017,18446.7628540488
"Suisun Bay",2018,7592.90727204621
"Suisun Bay",2019,19950.1798218954
"Suisun Marsh",1975,1520.49722222222
"Suisun Marsh",1976,2495.90523148148
"Suisun Marsh",1977,4541.61027777778
"Suisun Marsh",1978,3253.30259259259
"Suisun Marsh",1979,2012.08975925926
"Suisun Marsh",1980,1183.24401851852
"Suisun Marsh",1981,2632.68745502645
"Suisun Marsh",1982,2039.24355026455
"Suisun Marsh",1983,2280.29792592593
"Suisun Marsh",1984,2252.75642592593
"Suisun Marsh",1985,1952.07407407407
"Suisun Marsh",1986,1776.73009259259
"Suisun Marsh",1987,1022.11416666667
"Suisun Marsh",1988,502.671388888889
"Suisun Marsh",1989,5957.6625
"Suisun Marsh",1990,4489.85453703704
"Suisun Marsh",1991,3319.70888888889
"Suisun Marsh",1992,2421.22333333333
"Suisun Marsh",1993,6030.26333333333
"Suisun Marsh",1994,17164.07
"Suisun Marsh",1995,4954.32074502252
"Suisun Marsh",1996,5156.73851348735
"Suisun Marsh",1997,11219.2708493964
"Suisun Marsh",1998,10658.7097966632
"Suisun Marsh",1999,17886.1510613192
"Suisun Marsh",2000,15135.8550537978
"Suisun Marsh",2001,15132.050497548
"Suisun Marsh",2002,36912.2004398251
"Suisun Marsh",2003,18814.5769362031
"Suisun Marsh",2004,23713.4605990877
"Suisun Marsh",2005,14683.3071240677
"Suisun Marsh",2006,15478.0194522923
"Suisun Marsh",2007,14418.0287143131
"Suisun Marsh",2008,18648.3644711138
"Suisun Marsh",2009,16455.4662053923
"Suisun Marsh",2010,11321.9261505465
"Suisun Marsh",2011,8310.34843952808
"Suisun Marsh",2012,15890.1969523529
"Suisun Marsh",2013,12354.87623811
"Suisun Marsh",2014,14172.9835892015
"Suisun Marsh",2015,20756.4124132931
"Suisun Marsh",2016,17594.1337325848
"Suisun Marsh",2017,17020.5647991253
"Suisun Marsh",2018,8669.71699963096
"Suisun Marsh",2019,13178.9193055556
